created_at,run_id,product_code,query_text,market_scope,media_type,platform,title,source_url,direct_media_url,thumbnail_url,snippet,engine,engine_query,score,status,dedupe_key
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,Exploring the Benefits of the New 1688 Platform,https://www.tiktok.com/@importation_guardian/video/7595126652447788289,,https://serpapi.com/searches/6a0c146413f4b6b13373c55d/images/SbYrnbkEgF6wBYYtceFJ7opC4hgxZ9gNgInUwZ6jySQ.jpeg,Reviews on Taobao · 10 Best Websites · Taobao Verification · Buying from ... How to Import Products from 1688 · 1688 Как Скачать. 5747Likes. 290 ...,google_videos,alibaba taobao 1688 2026 coupang product review try on,70.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@importation_guardian/video/7595126652447788289
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,Get Free Chinese Supplier Contacts for Gym Wear & More,https://www.tiktok.com/@suppliersconnect/video/7631520838885608724,,https://serpapi.com/searches/6a0c146413f4b6b13373c55d/images/L2d3P21Z-zXn-wyaAj7_J1eUnRmhdXbvSIeAj1h-Sx0.jpeg,"You can use Chinese platforms like 1688, Alibaba etc but I prefer 1688 because it is cheaper. ... Make ₦400k+ profit with this 2026 business idea ...",google_videos,alibaba taobao 1688 2026 coupang product review try on,68.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@suppliersconnect/video/7631520838885608724
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,How to Upgrade 1688 App to Latest Version (2026 Guide),https://www.youtube.com/watch?v=fK76xvYfr3I,https://i.ytimg.com/vi/fK76xvYfr3I/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLB1uBc6v3JFVTnautU2_lQrP8M8jw,https://serpapi.com/searches/6a0c146213f4b6a1d0c41ce4/images/5gmYtBV-t5W53eJ71zJAMV3XyA538FwBDvW4A2mtQ0s.jpeg,YouTube,google_images,alibaba taobao 1688 2026 coupang,67.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/fK76xvYfr3I/hq720.jpg?rs=AOn4CLB1uBc6v3JFVTnautU2_lQrP8M8jw&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,Unboxing My Free Alibaba Sample | What Alibaba Supplier ...,https://www.youtube.com/watch?v=uIogVttTlHg,,https://serpapi.com/searches/6a0c146413f4b6b13373c55d/images/vMQkgmrcbvuwuTBJsX-JUNxCrjx6asLBS02pX4AqTWI.jpeg,video I will be unboxing my free Alibaba sample and giving an Alibaba review. I will share what Alibaba supplier for my viscose fabric and ...,google_videos,alibaba taobao 1688 2026 coupang product review try on,67.0,ready,AUTO20260519143909|video|https://www.youtube.com/watch?v=uIogVttTlHg
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,instagram.com,"WorldFirst on Instagram: ""Discover how a Shenzhen supplier ...",https://www.instagram.com/reel/DMFV-Arh0aY/,,https://serpapi.com/searches/6a0c146413f4b6b13373c55d/images/nKNvS2SbY9_jvLHQUeV-mDgud4QxEYDJ2qlAfb3jvew.jpeg,IN CHINA AliExpress 1688 WE USE TAOBAO TMALL FOLLOW ME IF YOU WANT TO START FROM CHINA BRO ... If you find a product on platforms like 1688 or ...,google_videos,alibaba taobao 1688 2026 coupang product review try on,67.0,ready,AUTO20260519143909|video|https://www.instagram.com/reel/DMFV-Arh0aY/
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,Import High-Quality Gadgets from JD App Easily,https://www.tiktok.com/@rukkyprocurement/video/7529952753779510550,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLxWW1_rT8rn2yZqs1so37HpvHM72oxA_mMqIx6xQJeHDQ0Rhk3yPs-Q&s,... Alibaba and Taobao. Unlock your import potential today! #importationbusiness ... Why the same product can be cheaper on 1688 than Taobao.,google_videos,alibaba taobao 1688 2026 coupang product review try on,67.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@rukkyprocurement/video/7529952753779510550
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,Taobao or 1688 – Which is Better?,https://www.youtube.com/watch?v=8w_a97JPHQA,https://i.ytimg.com/vi/8w_a97JPHQA/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCjYL8ZvLLec64BUNGbL2VjqQnd3g,https://serpapi.com/searches/6a0c146213f4b6a1d0c41ce4/images/mJ1x56wdKmfMSD_eXVO9hIcj8ovk8TBk7RkWE8nFUd0.jpeg,YouTube,google_images,alibaba taobao 1688 2026 coupang,65.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/8w_a97JPHQA/hq720.jpg?rs=AOn4CLCjYL8ZvLLec64BUNGbL2VjqQnd3g&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,Replying to @HELIZA dealing with scamw agents ...,https://www.tiktok.com/@import.africa/video/7221839304752975109,,https://serpapi.com/searches/6a0c146413f4b6b13373c55d/images/K4Rj3QcScfzel3ZVHUc7P96M1zUjiMdvHDFXyE0avLE.jpeg,"you know, it's to be delivered, all right, they don't deliver that particular products. The supplier did not actually scam you, okay? It's ...",google_videos,alibaba taobao 1688 2026 coupang product review try on,64.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@import.africa/video/7221839304752975109
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,How to Fund Your Alipay Account for Easy 1688 Shopping,https://www.tiktok.com/@import.africa/video/7154360375486500101,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmXUnhFqqlqHTfbvNx1HOfrUPh6NCA9ed6VNO6L6aI-6ErBwQ1zHNCRg&s,"Learn how to top up your Alipay account to seamlessly pay for your purchases on 1688, the perfect guide for smooth transactions.",google_videos,alibaba taobao 1688 2026 coupang product review try on,62.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@import.africa/video/7154360375486500101
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,tiktok.com,"Canton Fair 2026 Dates Revealed: 3 Phases, 1 Fair!",https://www.tiktok.com/@tina.chinabusiness/video/7625839341058788638,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9Vrosf3IiCdt5kmYG6IGwnbjqUm2ldLQHaOebqcNCFIGZZcMdQdnA7A&s,The phased approach allows attendees to focus on specific industries and product categories during each segment of the event. This strategic ...,google_videos,alibaba taobao 1688 2026 coupang product review try on,61.0,ready,AUTO20260519143909|video|https://www.tiktok.com/@tina.chinabusiness/video/7625839341058788638
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,DO THIS Before BUYING From AliExpress | AliBaba | 1688 | Taobao,https://www.youtube.com/watch?v=wXFU1jmuuHU,https://i.ytimg.com/vi/wXFU1jmuuHU/maxresdefault.jpg,https://serpapi.com/searches/6a0c146213f4b6a1d0c41ce4/images/mJ1x56wdKmfMSD_eXVO9hNASWyFh2-yxT3usz6-tgRM.jpeg,YouTube,google_images,alibaba taobao 1688 2026 coupang,59.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/wXFU1jmuuHU/maxresdefault.jpg
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,"How To Start Dropshipping With $0 & Make Money With Shopify, Woocommerce &  Source From 1688, Taobao - YouTube",https://www.youtube.com/watch?v=T5iZ3xF35uw,https://i.ytimg.com/vi/T5iZ3xF35uw/hqdefault.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgl_cZOFGYWFYDzpZws7eTZ3H5i8v3V63U4g&s,YouTube,google_images,alibaba taobao 1688 2026 coupang,43.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/T5iZ3xF35uw/hqdefault.jpg
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,Alibaba vs 1688. Which one you should use in 2025,https://www.youtube.com/watch?v=lzcwcDULfOY,https://i.ytimg.com/vi/lzcwcDULfOY/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLARpSU3LZrp4f1z5qM22Dgclr0TlQ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4XKxmiuBcdhYtL0TX8jIN1HLNyKBEeJdUUA&s,YouTube,google_images,alibaba taobao 1688 2026 coupang,33.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/lzcwcDULfOY/hq720.jpg?rs=AOn4CLARpSU3LZrp4f1z5qM22Dgclr0TlQ&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD
2026-05-19T07:39:11.855974+00:00,run_f661971be211,AUTO20260519143909,đồ ngủ lụa,VN+TH+GLOBAL,video,youtube.com,THIS CHINESE WEBSITE IS CHEAPER THAN 1688 & TAOBAO + YOU CAN BUY PRODUCTS  WITH YOUR BANK CARD,https://www.youtube.com/watch?v=ON49IfPgD3A,https://i.ytimg.com/vi/ON49IfPgD3A/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLB-qhll1nYQRm72NCQoI4yLQJd9dg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTr8OzaigKdEVGCEUJgmY5TpenfAY-y3Qt7LQ&s,YouTube,google_images,alibaba taobao 1688 2026 coupang,25.0,ready,AUTO20260519143909|video|https://i.ytimg.com/vi/ON49IfPgD3A/hq720.jpg?rs=AOn4CLB-qhll1nYQRm72NCQoI4yLQJd9dg&sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD
